id,Occupation,Active Since
1,technician,1997-09-22
2,other,1998-02-27
3,writer,1998-03-07
4,technician,1998-04-08
5,other,1997-09-30
6,executive,1997-12-28
7,administrator,1998-03-31
8,administrator,1997-11-12
9,student,1998-02-08
10,lawyer,1997-10-26
11,other,1998-04-06
12,other,1997-11-19
13,educator,1997-12-07
14,scientist,1997-10-16
15,educator,1997-11-13
16,ITBA,1997-10-24
17,programmer,1998-01-18
18,other,1997-11-21
19,librarian,1998-01-21
20,homemaker,1997-11-16
21,writer,1997-09-22
22,writer,1997-11-07
23,artist,1997-09-20
24,artist,1997-09-26
25,engineer,1998-01-26
26,engineer,1998-03-31
27,librarian,1998-04-02
28,writer,1997-12-12
29,programmer,1997-12-22
30,student,1997-09-23
31,ITBA,1997-12-08
32,student,1998-01-02
33,student,1998-04-07
34,administrator,1998-02-27
35,homemaker,1997-09-28
36,student,1997-12-15
37,student,1997-11-30
38,other,1998-04-13
39,entertainment,1998-04-01
40,scientist,1998-03-04
41,engineer,1998-03-23
42,administrator,1997-12-02
43,librarian,1997-10-04
44,technician,1997-10-31
45,programmer,1997-12-01
46,marketing,1997-12-31
47,marketing,1997-11-13
48,administrator,1997-11-13
49,student,1998-02-21
50,writer,1997-10-17
51,educator,1997-12-30
52,student,1997-12-24
53,programmer,1997-11-13
54,executive,1997-11-30
55,programmer,1997-10-30
56,librarian,1998-04-15
57,none,1998-01-01
58,programmer,1998-01-09
59,educator,1998-02-23
60,healthcare,1997-12-28
61,engineer,1998-03-29
62,administrator,1997-11-12
63,marketing,1997-10-01
64,educator,1997-11-12
65,educator,1997-11-11
66,student,1997-12-31
67,student,1997-09-27
68,student,1997-10-16
69,engineer,1997-12-13
70,engineer,1998-01-06
71,scientist,1997-10-20
72,administrator,1997-11-20
73,student,1998-02-28
74,scientist,1998-02-24
75,entertainment,1998-01-06
76,student,1997-09-23
77,technician,1998-01-13
78,administrator,1997-11-15
79,administrator,1998-03-30
80,administrator,1997-12-31
81,student,1997-10-11
82,programmer,1997-10-08
83,other,1997-11-23
84,executive,1997-12-30
85,educator,1997-11-13
86,administrator,1997-11-15
87,administrator,1997-11-18
88,librarian,1998-03-27
89,administrator,1997-11-13
90,educator,1998-03-31
91,marketing,1998-04-01
92,entertainment,1997-09-30
93,executive,1998-02-28
94,student,1998-01-27
95,administrator,1997-11-10
96,artist,1998-01-10
97,artist,1998-01-08
98,executive,1997-11-25
99,student,1998-01-24
100,executive,1998-03-31
101,student,1997-10-18
102,programmer,1997-10-03
103,student,1997-11-24
104,student,1998-02-25
105,engineer,1998-03-06
106,retired,1997-12-06
107,scientist,1998-03-30
108,educator,1997-11-18
109,other,1997-11-26
110,student,1998-02-09
111,engineer,1998-04-04
112,salesman,1998-01-16
113,executive,1997-09-24
114,programmer,1997-12-04
115,engineer,1997-12-03
116,healthcare,1997-10-10
117,student,1997-11-21
118,administrator,1997-09-27
119,programmer,1997-09-20
120,other,1998-03-10
121,librarian,1998-03-31
122,writer,1997-11-11
123,artist,1997-11-17
124,student,1998-03-19
125,lawyer,1997-11-13
126,lawyer,1998-02-19
127,none,1998-01-09
128,marketing,1997-11-19
129,marketing,1997-12-27
130,none,1997-09-22
131,administrator,1998-01-01
132,other,1998-03-30
133,engineer,1998-03-22
134,programmer,1998-04-04
135,student,1997-11-18
136,other,1997-12-21
137,educator,1997-12-06
138,doctor,1997-11-08
139,student,1997-11-14
140,student,1997-11-08
141,programmer,1998-01-12
142,other,1998-02-28
143,technician,1998-02-25
144,programmer,1998-02-21
145,entertainment,1997-09-26
146,artist,1998-04-01
147,librarian,1998-01-23
148,engineer,1997-10-16
149,marketing,1997-12-30
150,artist,1997-11-05
151,administrator,1997-11-14
152,educator,1997-09-29
153,student,1997-12-06
154,student,1997-11-10
155,other,1997-11-12
156,educator,1998-02-22
157,engineer,1997-09-21
158,educator,1997-11-21
159,student,1997-11-25
160,programmer,1997-10-13
161,lawyer,1998-03-29
162,artist,1997-10-23
163,administrator,1998-03-30
164,healthcare,1998-03-08
165,other,1997-11-14
166,educator,1998-02-02
167,ITBA,1998-04-16
168,other,1998-01-08
169,other,1998-03-30
170,healthcare,1998-01-06
171,educator,1998-03-27
